Topic,Average Rate (Hz)
/camera_360/image,17.826
/diagnostics,1.0
/rslidar_bpeal_points,20.004
/rslidar_helios_points,20.024
/tf,214.352
/zed/zed_node/atm_press,25.036
/zed/zed_node/confidence/confidence_map,5.894
/zed/zed_node/depth/camera_info,14.895
/zed/zed_node/depth/depth_registered,6.401
/zed/zed_node/depth/depth_registered/compressedDepth,14.877
/zed/zed_node/disparity/disparity_image,9.316
/zed/zed_node/imu/data,199.753
/zed/zed_node/imu/data_raw,199.636
/zed/zed_node/imu/mag,50.788
/zed/zed_node/left/camera_info,14.92
/zed/zed_node/left/image_rect_color,8.988
/zed/zed_node/left/image_rect_color/compressed,14.966
/zed/zed_node/left/image_rect_color/ffmpeg,14.872
/zed/zed_node/left/image_rect_color/theora,15.637
/zed/zed_node/left_cam_imu_transform,199.85
/zed/zed_node/left_gray/camera_info,14.912
/zed/zed_node/left_gray/image_rect_gray,14.9
/zed/zed_node/left_gray/image_rect_gray/compressed,14.858
/zed/zed_node/left_gray/image_rect_gray/ffmpeg,14.902
/zed/zed_node/left_gray/image_rect_gray/theora,15.872
/zed/zed_node/left_raw/camera_info,14.91
/zed/zed_node/left_raw/image_raw_color,6.04
/zed/zed_node/left_raw/image_raw_color/compressed,13.704
/zed/zed_node/left_raw/image_raw_color/ffmpeg,14.873
/zed/zed_node/left_raw/image_raw_color/theora,15.351
/zed/zed_node/left_raw_gray/camera_info,14.921
/zed/zed_node/left_raw_gray/image_raw_gray,14.892
/zed/zed_node/left_raw_gray/image_raw_gray/compressed,14.887
/zed/zed_node/left_raw_gray/image_raw_gray/ffmpeg,14.912
/zed/zed_node/left_raw_gray/image_raw_gray/theora,15.698
/zed/zed_node/odom,14.93
/zed/zed_node/path_map,2.002
/zed/zed_node/path_odom,1.997
/zed/zed_node/point_cloud/cloud_registered,2.763
/zed/zed_node/point_cloud/cloud_registered/draco,2.506
/zed/zed_node/point_cloud/cloud_registered/zlib,4.534
/zed/zed_node/point_cloud/cloud_registered/zstd,3.73
/zed/zed_node/pose,14.908
/zed/zed_node/pose/status,14.904
/zed/zed_node/pose_with_covariance,14.611
/zed/zed_node/rgb/camera_info,14.928
/zed/zed_node/rgb/image_rect_color,10.489
/zed/zed_node/rgb/image_rect_color/compressed,14.929
/zed/zed_node/rgb/image_rect_color/ffmpeg,14.897
/zed/zed_node/rgb/image_rect_color/theora,15.617
/zed/zed_node/rgb_gray/camera_info,14.926
/zed/zed_node/rgb_gray/image_rect_gray,14.709
/zed/zed_node/rgb_gray/image_rect_gray/compressed,14.909
/zed/zed_node/rgb_gray/image_rect_gray/ffmpeg,14.899
/zed/zed_node/rgb_gray/image_rect_gray/theora,15.496
/zed/zed_node/rgb_raw/camera_info,14.928
/zed/zed_node/rgb_raw/image_raw_color,12.964
/zed/zed_node/rgb_raw/image_raw_color/compressed,14.889
/zed/zed_node/rgb_raw/image_raw_color/ffmpeg,14.977
/zed/zed_node/rgb_raw/image_raw_color/theora,15.62
/zed/zed_node/rgb_raw_gray/camera_info,14.329
/zed/zed_node/rgb_raw_gray/image_raw_gray,14.879
/zed/zed_node/rgb_raw_gray/image_raw_gray/compressed,14.881
/zed/zed_node/rgb_raw_gray/image_raw_gray/ffmpeg,14.914
/zed/zed_node/rgb_raw_gray/image_raw_gray/theora,15.852
/zed/zed_node/right/camera_info,14.908
/zed/zed_node/right/image_rect_color/compressed,14.94
/zed/zed_node/right/image_rect_color/ffmpeg,14.944
/zed/zed_node/right/image_rect_color/theora,15.886
/zed/zed_node/right_gray/image_rect_gray/compressed,14.911
/zed/zed_node/right_gray/image_rect_gray/ffmpeg,14.775
/zed/zed_node/right_gray/image_rect_gray/theora,15.764
/zed/zed_node/right_raw/camera_info,14.901
/zed/zed_node/right_raw/image_raw_color,6.817
/zed/zed_node/right_raw/image_raw_color/compressed,14.871
/zed/zed_node/right_raw/image_raw_color/ffmpeg,14.915
/zed/zed_node/right_raw/image_raw_color/theora,15.602
/zed/zed_node/right_raw_gray/camera_info,14.89
/zed/zed_node/right_raw_gray/image_raw_gray,14.88
/zed/zed_node/right_raw_gray/image_raw_gray/compressed,14.901
/zed/zed_node/right_raw_gray/image_raw_gray/ffmpeg,14.771
/zed/zed_node/right_raw_gray/image_raw_gray/theora,15.626
/zed/zed_node/stereo/image_rect_color,7.918
/zed/zed_node/stereo/image_rect_color/compressed,14.934
/zed/zed_node/stereo/image_rect_color/ffmpeg,14.786
/zed/zed_node/stereo/image_rect_color/theora,16.078
/zed/zed_node/stereo_raw/image_raw_color,11.195
/zed/zed_node/stereo_raw/image_raw_color/compressed,14.912
/zed/zed_node/stereo_raw/image_raw_color/ffmpeg,14.884
/zed/zed_node/stereo_raw/image_raw_color/theora,15.834
/zed/zed_node/temperature/left,1.0
/zed/zed_node/temperature/right,1.0
